"","yp","Street"
"306",-2.65203010291139,"1003 RICHLAND ST"
"307",-2.6520301589567,"1003 RICHLAND ST"
"308",-2.5926639001187,"1003-18 N MAIN ST"
"309",-2.59266411812823,"1003-18 N MAIN ST"
"310",-2.59266433613776,"1003-18 N MAIN ST"
"311",-2.59266455414729,"1003-18 N MAIN ST"
"312",-2.59266477215683,"1003-18 N MAIN ST"
"313",-2.59266499016636,"1003-18 N MAIN ST"
"314",-2.98616864975533,"1003-18 N MAIN ST"
"315",-2.98616864975533,"1003-18 N MAIN ST"
"316",-2.98616864975533,"1003-18 N MAIN ST"
"317",-2.98616864975533,"1003-18 N MAIN ST"
"318",-2.98616864975533,"1003-18 N MAIN ST"
"319",-2.98616864975533,"1003-18 N MAIN ST"
"320",-2.98616864975533,"1003-18 N MAIN ST"
"321",-2.98616864975533,"1003-18 N MAIN ST"
"322",-2.33501014089108,"1003-18 N MAIN ST"
"323",-2.33501038946487,"1003-18 N MAIN ST"
"324",-2.33501063803866,"1003-18 N MAIN ST"
"325",-2.33501088661245,"1003-18 N MAIN ST"
"326",-2.33501113518624,"1003-18 N MAIN ST"
"327",-2.14615481369466,"1004 CHARLOTTE AV"
"328",-2.14615483917571,"1004 CHARLOTTE AV"
"329",-2.14615486465675,"1004 CHARLOTTE AV"
"330",-1.99399140582285,"1004 CHARLOTTE AV"
"331",-1.71981694541459,"1004 CHARLOTTE AV"
"332",-1.48917322610344,"1004 CHARLOTTE AV"
"333",-1.48917325158449,"1004 CHARLOTTE AV"
"334",-1.55733987406019,"1004 CHARLOTTE AV"
"335",-1.35684429423478,"1004 CHARLOTTE AV"
"336",-1.34456779535138,"1004 CHARLOTTE AV"
"337",-1.34456782083242,"1004 CHARLOTTE AV"
"338",-1.22255333828365,"1004 CHARLOTTE AV"
"339",-1.10053952953943,"1004 CHARLOTTE AV"
"340",-1.02205821601985,"1004 CHARLOTTE AV"
"341",-0.952115468248705,"1004 CHARLOTTE AV"
"342",-0.952115493729754,"1004 CHARLOTTE AV"
"343",-1.07412948899455,"1004 CHARLOTTE AV"
"344",-0.647791657818999,"1004 CHARLOTTE AV"
"345",-0.769805653083794,"1004 CHARLOTTE AV"
"346",-1.55804942300955,"1004 HICKORY CHAPEL RD"
"347",-1.68006336455218,"1004 HICKORY CHAPEL RD"
"348",-1.68006333631106,"1004 HICKORY CHAPEL RD"
"349",-1.68006330806995,"1004 HICKORY CHAPEL RD"
"350",-1.68006327982883,"1004 HICKORY CHAPEL RD"
"351",-1.68006325158771,"1004 HICKORY CHAPEL RD"
"352",-1.68006322334659,"1004 HICKORY CHAPEL RD"
"353",-1.92409113467297,"1004 HICKORY CHAPEL RD"
"354",-1.9940338522361,"1004 HICKORY CHAPEL RD"
"355",-1.96401511148367,"1004 HICKORY CHAPEL RD"
"356",-2.04249663326503,"1004 HICKORY CHAPEL RD"
"357",-2.11243932026389,"1004 HICKORY CHAPEL RD"
"358",-2.23445323124226,"1004 HICKORY CHAPEL RD"
"359",-2.23445317243689,"1004 HICKORY CHAPEL RD"
"360",-2.23445311363151,"1004 HICKORY CHAPEL RD"
"361",-2.23445305482613,"1004 HICKORY CHAPEL RD"
"362",-2.23445299602075,"1004 HICKORY CHAPEL RD"
"363",-1.8890457006512,"1004 HICKORY CHAPEL RD"
"364",-2.01105961162957,"1004 HICKORY CHAPEL RD"
"365",-2.70471581671693,"1004 LEONARD AV"
"366",-2.70471603472646,"1004 LEONARD AV"
"367",-2.704716252736,"1004 LEONARD AV"
"368",-2.70471647074553,"1004 LEONARD AV"
"369",-2.70471668875506,"1004 LEONARD AV"
"370",-2.70471690676459,"1004 LEONARD AV"
"371",-2.70471712477412,"1004 LEONARD AV"
"372",-2.70471734278365,"1004 LEONARD AV"
"373",-2.70471756079319,"1004 LEONARD AV"
"374",-2.70471777880272,"1004 LEONARD AV"
"375",-2.70471799681225,"1004 LEONARD AV"
"376",-2.70471821482178,"1004 LEONARD AV"
"377",-2.70471843283131,"1004 LEONARD AV"
"378",-2.31140502726484,"1004 LEONARD AV"
"379",-2.31140516934701,"1004 LEONARD AV"
"380",-2.3114054179208,"1004 LEONARD AV"
"381",-2.31140566649459,"1004 LEONARD AV"
"382",-2.31140591506838,"1004 LEONARD AV"
"383",-2.31140616364217,"1004 LEONARD AV"
"384",-2.34155334129105,"1004 TESH CT"
"385",-2.13731994190422,"1004 TESH CT"
"386",-2.96044107317712,"1004 TESH CT"
"387",-2.96044101437174,"1004 TESH CT"
"388",-2.96044095556636,"1004 TESH CT"
"389",-2.96044089676098,"1004 TESH CT"
"390",-2.18939269348436,"1005 CHARLOTTE AV"
"391",-2.18939294205815,"1005 CHARLOTTE AV"
"392",-2.18939319063195,"1005 CHARLOTTE AV"
"393",-2.18939343920574,"1005 CHARLOTTE AV"
"394",-2.18939368777953,"1005 CHARLOTTE AV"
"395",-2.18939393635332,"1005 CHARLOTTE AV"
"396",-2.18939418492711,"1005 CHARLOTTE AV"
"397",-2.1893944335009,"1005 CHARLOTTE AV"
"398",-2.1893946820747,"1005 CHARLOTTE AV"
"399",-2.18939493064849,"1005 CHARLOTTE AV"
"400",-2.18939517922228,"1005 CHARLOTTE AV"
"401",-2.31140939757982,"1005 CHARLOTTE AV"
"402",-2.31140964615361,"1005 CHARLOTTE AV"
"403",-2.3114098947274,"1005 CHARLOTTE AV"
"404",-2.31141014330119,"1005 CHARLOTTE AV"
"405",-2.31141039187498,"1005 CHARLOTTE AV"
"406",-2.66273060873576,"1005 CHARLOTTE AV"
"407",-2.66273058049464,"1005 CHARLOTTE AV"
"408",-2.23292401000999,"1005 CHARLOTTE AV"
"409",-2.76656449581686,"1005 JEFFERSON ST"
"410",-2.76656446757574,"1005 JEFFERSON ST"
"411",-2.76656443933463,"1005 JEFFERSON ST"
"412",-2.76656441109351,"1005 JEFFERSON ST"
"413",-2.76656438285239,"1005 JEFFERSON ST"
"414",-2.76656435461127,"1005 JEFFERSON ST"
"415",-2.26307709100198,"1005 JEFFERSON ST"
"416",-2.3415589201625,"1005 JEFFERSON ST"
"417",-2.34155916873629,"1005 JEFFERSON ST"
"418",-2.98616864975533,"1005 JEFFERSON ST"
"419",-2.98616864975533,"1005 JEFFERSON ST"
"420",-2.98616864975533,"1005 JEFFERSON ST"
"421",-2.98616864975533,"1005 JEFFERSON ST"
"422",-2.98616864975533,"1005 JEFFERSON ST"
"423",-2.98616864975533,"1005 JEFFERSON ST"
"424",-2.98616864975533,"1005 JEFFERSON ST"
"425",-2.98616864975533,"1005 JEFFERSON ST"
"426",-2.98616864975533,"1005 JEFFERSON ST"
"427",-2.98616864975533,"1005 JEFFERSON ST"
"428",-2.90799656548056,"1005 PROCTOR DR"
"429",-2.90799659096161,"1005 PROCTOR DR"
"430",-2.90799661644266,"1005 PROCTOR DR"
"431",-2.90799664192371,"1005 PROCTOR DR"
"432",-2.60367086511349,"1005 PROCTOR DR"
"433",-2.60367089059454,"1005 PROCTOR DR"
"434",-2.60367091607559,"1005 PROCTOR DR"
"435",-2.60367094155664,"1005 PROCTOR DR"
"436",-2.60367096703769,"1005 PROCTOR DR"
"437",-2.60367099251874,"1005 PROCTOR DR"
"438",-2.60367101799978,"1005 PROCTOR DR"
"439",-2.60367104348083,"1005 PROCTOR DR"
"440",-2.60367106896188,"1005 PROCTOR DR"
"441",-2.60367109444293,"1005 PROCTOR DR"
"442",-2.75583331411302,"1005 PROCTOR DR"
"443",-2.75252181565753,"1005 PROCTOR DR"
"444",-2.51987151306151,"1005 PROCTOR DR"
"445",-2.51987156910682,"1005 PROCTOR DR"
"446",-2.51987162515213,"1005 PROCTOR DR"
"447",-2.77510197199863,"1005-A GARRISON ST"
"448",-2.77510194375751,"1005-A GARRISON ST"
"449",-2.27161463705565,"1005-A GARRISON ST"
"450",-2.39362885541319,"1005-A GARRISON ST"
"451",-2.39362910398698,"1005-A GARRISON ST"
"452",-2.39362935256078,"1005-A GARRISON ST"
"453",-2.39362960113457,"1005-A GARRISON ST"
"454",-2.39362984970836,"1005-A GARRISON ST"
"455",-2.39363009828215,"1005-A GARRISON ST"
"456",-2.39363034685594,"1005-A GARRISON ST"
"457",-2.98616864975533,"1005-A GARRISON ST"
"458",-2.98616864975533,"1005-A GARRISON ST"
"459",-2.98616864975533,"1005-A GARRISON ST"
